Nätområde,NätId,Nättyp,Elområde,Nätägare,EDIELID
Edsbyn,EBN,Lokalnät,2,Ellevio AB,14900
Ekeröarna,EKO,Lokalnät,3,Ellevio AB,14900
Eksjö,ESJ,Lokalnät,3,Eksjö Elnät AB,19400
Emmaboda,EBA,Lokalnät,4,Emmaboda Elnät AB,19500
Enköping,EKG,Lokalnät,3,E.ON Energidistribution AB,16000
Eskilstuna,ESK,Lokalnät,3,Eskilstuna Energi & Miljö Elnät ,19800
Fagersta,FGA,Lokalnät,3,Västerbergslagens Elnät AB,38700
Falbygden,FBN,Lokalnät,3,Falbygdens Energi Nät AB,39600
Falkenberg,FBG,Lokalnät,4,Falkenberg Energi Elnät AB,39700
Falun,FLN,Lokalnät,3,Falu Elnät AB,19200
Falun nordost,FLO,Lokalnät,3,Falu Elnät AB,19200
Filipstad,FPD,Lokalnät,3,Filipstad Energinät AB,39900
Finspångsbygden,FSB,Lokalnät,3,Vattenfall Eldistribution AB,16400
Flakaberget,FLB,Regionnät,2,E.ON Energidistribution AB,16000
Flen,FLE,Lokalnät,3,Vattenfall Eldistribution AB,16400
Forsbacka,FOB,Lokalnät,3,Gävle Energi Elnät AB,20400
Forsbacka Övre,FBA,Regionnät,3,Ellevio AB,14900
Frostviken region,FRV,Regionnät,2,Blåsjön Nät AB,14500
Främmestad,FMD,Lokalnät,3,Vattenfall Eldistribution AB,16400
Fågelsjö Region,FLS,Regionnät,2,Ellevio AB,14900
Gabrielsberget,GBT,Lokalnät,2,Gabrielsberget Net AB,52200
Gagnef,GNF,Lokalnät,3,Dala Energi Elnät AB,25800
Gammelstilla,GAM,Lokalnät,3,Vattenfall Eldistribution AB,16400
Garpenberg,GAB,Lokalnät,3,Vattenfall Eldistribution AB,16400
Gideobygden,GDB,Lokalnät,2,Vattenfall Eldistribution AB,16400
Gislaved,GIV,Lokalnät,3,Gislaved Energi Elnät AB,19900
Gotland,GTL,Lokalnät,3,Gotlands Elnät AB,11220
Grästorp,GTP,Lokalnät,3,Grästorp Energi ek för,20300
Grönviken region,GRV,Regionnät,2,Ellevio AB,14900
Gullspångsbygden,GBN,Lokalnät,3,Ellevio AB,14900
Gässlingegrund,GLG,Lokalnät,3,Vindpark Vänern Drift AB,65800
Gävle,GVL,Lokalnät,3,Gävle Energi Elnät AB,20400
Göta,GTA,Lokalnät,3,Vattenfall Eldistribution AB,16400
Göteborg,GBG,Lokalnät,3,Göteborg Energi Nät AB,20500
Habo,HBO,Lokalnät,3,Habo Energi Kraft AB,46300
Hallabro,HLB,Lokalnät,4,Kraftringen Nät AB,24700
Halland,HLD,Lokalnät,4,E.ON Energidistribution AB,16000
